"URI","rdf-schema#label","areaTotal","populationDensity","anthem_label","anthem","areaTotal","capital_label","capital","currency_label","currency","demonym","dissolutionDate","dissolutionYear","ethnicGroup_label","ethnicGroup","flag","foundingDate","foundingYear","governmentType_label","governmentType","language_label","language","leader_label","leader","leaderTitle","longName","motto","officialLanguage_label","officialLanguage","populationDensity","populationTotal","timeZone_label","timeZone"
"http://dbpedia.org/resource/Adal_Sultanate","Adal Sultanate","NULL","NULL","NULL","NULL","NULL","{Harar|Dakkar|Zeila}","{http://dbpedia.org/resource/Harar|http://dbpedia.org/resource/Dakkar|http://dbpedia.org/resource/Zeila}","NULL","NULL","NULL","NULL","1559-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","1415-01-01T00:00:00+02:00","Monarchy","http://dbpedia.org/resource/Monarchy","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Adamawa_Emirate","Adamawa Emirate","NULL","NULL","NULL","NULL","NULL","Yola Nigeria","http://dbpedia.org/resource/Yola,_Nigeria","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1809-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Aden_Protectorate","Aden Protectorate","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1963-01-18","1963-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","1869-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Adiabene","Adiabene","NULL","NULL","NULL","NULL","NULL","Erbil","http://dbpedia.org/resource/Erbil","NULL","NULL","NULL","NULL","0116-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","0015-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Adil_Shahi_dynasty","Adil Shahi dynasty","NULL","NULL","NULL","NULL","NULL","Bijapur district Karnataka","http://dbpedia.org/resource/Bijapur_district,_Karnataka","NULL","NULL","NULL","NULL","1686-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","1490-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Adjar_Autonomous_Soviet_Socialist_Republic","Adjar Autonomous Soviet Socialist Republic","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Soviet ruble","http://dbpedia.org/resource/Soviet_ruble","NULL","NULL","1990-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","1921-01-01T00:00:00+02:00","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Adjara","Adjara","{2900.0|2900.78668357632}","135.32","NULL","NULL","{2.9e+09|2.90079e+09}","Batumi","http://dbpedia.org/resource/Batumi","Georgian lari","http://dbpedia.org/resource/Georgian_lari","NULL","NULL","NULL","{Armenians|Georgians|Greeks|Russians|Ukrainians|Abkhaz people}","{http://dbpedia.org/resource/Armenians|http://dbpedia.org/resource/Georgians|http://dbpedia.org/resource/Greeks|http://dbpedia.org/resource/Russians|http://dbpedia.org/resource/Ukrainians|http://dbpedia.org/resource/Abkhaz_people}","Flag of Adjara.svg","NULL","NULL","NULL","NULL","Georgian language","http://dbpedia.org/resource/Georgian_language","NULL","NULL","Chairman ofthe Government","Autonomous Republic of Ajara","NULL","Georgian language","http://dbpedia.org/resource/Georgian_language","135.32","393700","Coordinated Universal Time","http://dbpedia.org/resource/Coordinated_Universal_Time"
"http://dbpedia.org/resource/Aerican_Empire","Aerican Empire","9000000.0","NULL","NULL","NULL","9e+12","{Canada|Montreal}","{http://dbpedia.org/resource/Canada|http://dbpedia.org/resource/Montreal}","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Flag of Aerica.svg","1987-05-08","NULL","NULL","NULL","English language","http://dbpedia.org/resource/English_language","NULL","NULL","Leader","Aerican Empire","NULL","English language","http://dbpedia.org/resource/English_language","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Afghan_Interim_Administration","Afghan Interim Administration","NULL","NULL","NULL","NULL","NULL","Kabul","http://dbpedia.org/resource/Kabul","NULL","NULL","NULL","2002-07-13","2002-01-01T00:00:00+02:00","NULL","NULL","NULL","2001-12-22","2001-01-01T00:00:00+02:00","Provisional government","http://dbpedia.org/resource/Provisional_government","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"http://dbpedia.org/resource/Afghan_Transitional_Administration","Afghan Transitional Administration","NULL","NULL","NULL","NULL","NULL","Kabul","http://dbpedia.org/resource/Kabul","NULL","NULL","NULL","2004-12-07","2004-01-01T00:00:00+02:00","NULL","NULL","NULL","2002-07-13","2002-01-01T00:00:00+02:00","Provisional government","http://dbpedia.org/resource/Provisional_government","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
